,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND
LAG0,0.051285896,0.34778906,0.393924115,0.350368577,0.272266453,0.130177803,0.138306422,0.078880026,0.06703682,0.065769207,0.08458361,0.028240203,0.320235505,0.267761109,0.346991817,0.231720388,0.213670799,0.187910316,0.125902529,0.320260224,0.225448712,0.326274089,0.120665044,0.135779711,0.201582666
LAG1,0.062456826,0.32467461,0.365895231,0.351316213,0.267891094,0.131432415,0.139079748,0.075829212,0.065554394,0.058397533,0.081561684,0.025855061,0.325692021,0.270653973,0.351743713,0.238209775,0.218872299,0.175569226,0.126385487,0.326049098,0.228058112,0.33409513,0.114895765,0.136260293,0.193564115
LAG2,0.070285198,0.300850587,0.344308521,0.352235833,0.269249881,0.131358923,0.138635191,0.065169985,0.070349032,0.06318764,0.093555815,0.026365482,0.326237426,0.275172601,0.351032438,0.242993704,0.224599101,0.18040964,0.12858587,0.326642568,0.22830018,0.348409197,0.118151847,0.135001743,0.191902604
LAG3,0.079350292,0.28100342,0.313313194,0.353173164,0.26907037,0.13275867,0.140058834,0.064415296,0.056182858,0.067590226,0.093011841,0.02596834,0.320074498,0.276864822,0.339395685,0.247345262,0.227719365,0.185937874,0.132801944,0.320454658,0.226891439,0.353326831,0.119556977,0.136661533,0.187670643
LAG4,0.092569876,0.263530852,0.298609815,0.354100565,0.267681829,0.136047127,0.144614176,0.06827384,0.059066742,0.062361248,0.084529064,0.02243904,0.311124569,0.269744562,0.329467024,0.25110917,0.229485999,0.190303867,0.14330649,0.311495667,0.225847045,0.351215651,0.120049745,0.143986654,0.186002971
LAG5,0.104879883,0.250599704,0.285458656,0.354992635,0.267320576,0.140409664,0.149113168,0.064264721,0.05982516,0.071035856,0.090788827,0.019787501,0.304059038,0.266915176,0.321831371,0.244604417,0.237772526,0.183834502,0.149070134,0.304185522,0.229164653,0.353443183,0.128682081,0.148090214,0.180964113
LAG6,0.115641129,0.242123832,0.276595205,0.355857265,0.258404417,0.139491652,0.150351783,0.061853811,0.064440839,0.067479597,0.092848864,0.018001939,0.293312293,0.257753905,0.31021773,0.249609891,0.239259456,0.179438923,0.150017798,0.293706225,0.227834415,0.345682232,0.12524624,0.148594092,0.177997848
LAG7,0.127139091,0.236791439,0.259705127,0.356697549,0.253796619,0.138662875,0.150104964,0.059557134,0.076060613,0.069297949,0.091086382,0.013101048,0.281399524,0.247556066,0.294405332,0.249113852,0.233265101,0.183601262,0.14916318,0.281621642,0.229519449,0.341010113,0.124227962,0.151104967,0.177893287
LAG8,0.140296868,0.224906884,0.250591956,0.357547495,0.242255114,0.141783129,0.156099128,0.057551822,0.075383503,0.071608934,0.086759353,0.012331354,0.277563391,0.241661894,0.28749794,0.258824918,0.231736017,0.190491139,0.155245479,0.277638669,0.228332607,0.343600803,0.131575193,0.158584513,0.186153957
LAG9,0.148526975,0.216629944,0.242619171,0.358378865,0.241812608,0.145222307,0.158251038,0.066222025,0.072487459,0.070927116,0.093271106,0.013367114,0.273579345,0.24151352,0.284787013,0.264215911,0.243985002,0.196756042,0.156875949,0.273292411,0.22123762,0.348575243,0.135272501,0.162199545,0.190109757
LAG10,0.155611967,0.221950778,0.238948669,0.359207534,0.239301807,0.151873226,0.1612635,0.058076107,0.064641141,0.066477262,0.095349024,0.012549454,0.269824023,0.23698767,0.280659854,0.265054872,0.244113879,0.190562721,0.15742751,0.269335981,0.223529423,0.350450081,0.131713589,0.164899497,0.187748608
LAG11,0.161536974,0.220135729,0.2353014,0.360033487,0.237895866,0.163886483,0.170757439,0.066952603,0.074243984,0.065487275,0.08998232,0.015408587,0.267535334,0.23514273,0.274243206,0.260821055,0.236406931,0.191837019,0.166030839,0.267013766,0.218070359,0.345406873,0.129774712,0.172097412,0.189523458
LAG12,0.168704737,0.218568104,0.230921519,0.360850028,0.237488576,0.166639337,0.172251827,0.06363456,0.07200869,0.067451327,0.083991553,0.014858723,0.261512996,0.231711329,0.268947876,0.249784445,0.226003511,0.185847427,0.168842452,0.260892127,0.214108694,0.34070811,0.131130895,0.172699897,0.191183944
LAG13,0.176538925,0.215380714,0.226552822,0.361669518,0.232956656,0.168600587,0.174993802,0.061226993,0.070234101,0.071924548,0.08970227,0.013230419,0.262725339,0.230716348,0.266697512,0.244088826,0.225976436,0.186388046,0.174978953,0.262163739,0.212327583,0.343963737,0.12948599,0.174553305,0.195366942
LAG14,0.176110891,0.210185432,0.223537938,0.36247395,0.220624361,0.176274709,0.181357747,0.064114705,0.067569969,0.072014222,0.088921485,0.013860616,0.260843482,0.22885104,0.265908681,0.245980881,0.225293015,0.18699789,0.182362189,0.260495904,0.208906546,0.345545597,0.13239267,0.181802484,0.197413553
LAG15,0.177180098,0.208479172,0.221158887,0.363262592,0.212536674,0.181553283,0.188833263,0.059978507,0.067808725,0.07157927,0.084544846,0.015324844,0.260679007,0.232422626,0.268223126,0.241576284,0.223098688,0.168274967,0.194930731,0.26041278,0.215440646,0.348269582,0.12401286,0.189406665,0.197552266
LAG16,0.176445215,0.207356426,0.216573863,0.36406988,0.208340323,0.19044791,0.196684071,0.072321682,0.074555649,0.069996417,0.085283226,0.015531792,0.25874697,0.231369522,0.272179931,0.239226786,0.22293378,0.170354011,0.205300681,0.258174765,0.215984151,0.34579989,0.123445802,0.197563707,0.199484538
LAG17,0.169891907,0.20528948,0.214403047,0.364876079,0.213971881,0.194280915,0.20334083,0.059449354,0.064322819,0.073295571,0.084397023,0.017128259,0.259786942,0.236144065,0.274864531,0.229312193,0.220410435,0.170378004,0.212158273,0.259090057,0.217290091,0.344600749,0.121430257,0.204798687,0.19923517
LAG18,0.168921698,0.205450866,0.216776023,0.365672858,0.207806505,0.197153505,0.206146068,0.063571975,0.074151074,0.07726902,0.080927531,0.017174052,0.264510755,0.238801921,0.273169662,0.233718024,0.226324711,0.164157112,0.214033112,0.264190326,0.221064244,0.34212254,0.116555074,0.209695331,0.202394632
LAG19,0.172332571,0.204551554,0.22457024,0.366455266,0.205676872,0.207169901,0.211212078,0.061648501,0.073122739,0.071610564,0.082231116,0.019329127,0.263043016,0.236709414,0.26946623,0.231045305,0.228082951,0.166627233,0.216617383,0.262708652,0.221289094,0.340688785,0.114999103,0.214494157,0.211784843
LAG20,0.184633341,0.213788927,0.227759064,0.367242387,0.199798523,0.216278322,0.220188811,0.068048894,0.069198786,0.067391519,0.087628569,0.023493479,0.26140214,0.234007977,0.263122502,0.232503595,0.230379394,0.163399267,0.222878656,0.260836284,0.219319539,0.340185839,0.1105253,0.224558494,0.218950784
