,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND
LAG0,-0.37587057926927553,0.40596470113326316,-0.22738814749017022,0.3503685770240641,0.5543306206740363,-0.17186083680070532,-0.08506082393268291,-0.01636332505913668,-0.0111203944109922,-0.0021925470644327378,-0.039932729956710496,0.04714946865168915,0.22711561621493637,0.2316045514914702,0.08154717684087799,0.39866915125514235,0.36189889104474793,0.33755658323445015,-0.05276854122596945,0.2270417548588962,0.7009299853582344,0.425129853155631,0.06168568814871372,-0.14541086229351446,-0.2018170084730128
LAG1,-0.3762040939028971,0.40701919738039294,-0.22740627309966907,0.3513162128377423,0.5549284900785935,-0.17107026930217575,-0.0841533162752177,-0.021032145755269408,-0.012672486444976079,-0.0051667750557577476,-0.037912044502313946,0.04792765668872216,0.22633350900823546,0.23120450139641197,0.0804882943176125,0.3998522106189472,0.3628567030862734,0.338592822428264,-0.05202870177361557,0.22625770179340993,0.7029668347010205,0.4262086163113835,0.062294676693442914,-0.14479142505313025,-0.20091488305573596
LAG2,-0.37665157625600637,0.4078248133953776,-0.22735008354288475,0.3522358328178613,0.5549342916815881,-0.170106882696727,-0.08308765618814933,-0.02588475977506279,-0.013081538935929475,-0.00884351158711826,-0.031615326435893404,0.04877067433823961,0.2254625596543147,0.23072462615314374,0.0793718111671405,0.4009932574686735,0.3638363666677921,0.33958269464972346,-0.051215620594634144,0.22538954485449464,0.7042362019382622,0.427228051877394,0.06283492717142732,-0.14406194298362074,-0.19992770610549418
LAG3,-0.377070612925123,0.4087975364204044,-0.22727979100035078,0.3531731639115965,0.5541279249330475,-0.16901866600210466,-0.08188724431713633,-0.02902540626432305,-0.014063205566074922,-0.010949242056534334,-0.02693183276584693,0.04958152532726582,0.22449364971138805,0.23020995745665215,0.07808948907406982,0.40217532722578275,0.36485183787342146,0.3405505684511973,-0.05030669976060087,0.22441860193990196,0.7052419645358293,0.42823514997924583,0.06409800938110305,-0.1432400699797195,-0.19883147527410475
LAG4,-0.3775095274098492,0.41005253763617405,-0.22719535396408458,0.35410056547347396,0.553063439406434,-0.1678620064655106,-0.08060079584244609,-0.03113024312951363,-0.015557278913560254,-0.012585989565182332,-0.026092027291625144,0.05036216476793367,0.2234487972304019,0.22966897019734442,0.07667945578197312,0.4033007357415276,0.36583867404842013,0.3414080469736375,-0.04933202541062108,0.22337481255453606,0.706442996671852,0.4292463220882438,0.06642442032071903,-0.1423583228036228,-0.19767585467798768
LAG5,-0.377769208806448,0.41143402390419026,-0.22713234956028916,0.3549926345731156,0.5519789687319994,-0.16665776992286713,-0.07926993935691368,-0.030539118517818754,-0.015762494524318386,-0.00850244303150336,-0.02544942656554707,0.051131574276229705,0.222379240175076,0.22912007979566407,0.0752256717387874,0.40452322271220564,0.3668841087049012,0.3421401190458782,-0.04831382008426909,0.22230456692035797,0.7077733679274631,0.43024215333969196,0.06866346266531204,-0.14144757242826445,-0.19647723203898415
LAG6,-0.3780330591234671,0.41288126374900885,-0.22700717652802846,0.355857264686111,0.5509939619888844,-0.16545272856569523,-0.07792959627894544,-0.03296296936900259,-0.015493265935467328,-0.007402623392205843,-0.023282612935443675,0.052087195913388465,0.2213123249421918,0.22855496431092323,0.07380707810182828,0.4056759864314433,0.3678462136554382,0.34294481821783906,-0.047288340279787115,0.2212400813166179,0.7090953008839581,0.43117542266082254,0.06833066734605768,-0.1405315772725228,-0.19531750362050962
LAG7,-0.37837275614954435,0.4143001766757995,-0.2268946903180999,0.35669754890053096,0.5499385026221747,-0.1641799470068439,-0.07651592370357867,-0.0358751286787327,-0.015040736087409677,-0.005741730418442848,-0.022811416033394705,0.05301753629579461,0.2201442797469174,0.22793471627534206,0.07225644510350077,0.40678668941572693,0.3688499993309567,0.3438559328364095,-0.04620634487858833,0.22007377754818236,0.7100783584301417,0.43208439124331005,0.06786187877522633,-0.1395689982150455,-0.19414880451350952
LAG8,-0.3787020060615168,0.4156503863534122,-0.2267933197486746,0.357547494664671,0.5483526708516037,-0.16278544207536572,-0.07499635636126299,-0.03527603433757787,-0.01705119550280167,-0.00227438666272572,-0.02371024008298198,0.05398676823944899,0.21896265235287365,0.22732302491346634,0.07066093707426561,0.4078788927459078,0.36981942812132323,0.3448289881231562,-0.045056586179272724,0.21889229941618488,0.710790676573629,0.4329639545141708,0.06845991658247395,-0.13853401200932433,-0.1929312611011982
LAG9,-0.37906488634404095,0.4168793362415279,-0.22668979130166145,0.3583788650331955,0.5469124881467579,-0.16137274492172643,-0.07348284750608318,-0.0374847685503901,-0.017541190263191984,-0.0065591598992613,-0.01886292951637901,0.05500768773946062,0.21765285501437603,0.22657764707385963,0.06901596192662827,0.40885431030478714,0.37075657530382333,0.3457461365844468,-0.04390904705042917,0.21757233116395888,0.7111716153307643,0.4337958252598868,0.06819949110046966,-0.13749759109154785,-0.191769209547197
