date,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND,predict
0,-0.355276649,1.12679368,-1.669809216,1.283048228,0.018371757,-1.767935782,-1.692123875,-0.633179447,0.06783376,0.179371793,-1.38483496,-4.365531267,-1.20712856,0.16660918,-3.224243134,1.281135526,1.29519457,1.512021394,-1.298477932,-1.207064919,0.040483511,1.295178768,-0.80017979,-1.406152522,-1.180691057,0.26
1,-0.355276649,1.12679368,-1.667319531,1.283048228,-0.221993451,-1.733424878,-1.660496157,1.099480041,-0.523001101,-1.201864942,0.421105749,-3.750339423,-1.176929208,0.213112839,-3.240160749,1.281135526,1.290754844,1.240103109,-1.270380576,-1.17685387,0.064151498,1.295178768,-0.972977448,-1.39028787,-1.181959515,0.28
2,-0.338077587,1.149400775,-1.669036555,1.283048228,-0.131109094,-1.725581656,-1.661586781,-0.009745893,0.163644819,0.057944388,0.512933243,-3.655661167,-1.18567955,0.2070396,-3.24886106,1.276698424,1.304074023,1.279575119,-1.265019773,-1.185583167,0.040483511,1.295178768,0.294351194,-1.389264344,-1.179105484,0.26
3,-0.303679462,1.149400775,-1.671440389,1.283048228,-0.195684822,-1.714209325,-1.645572174,0.557011884,-0.043945808,-0.807225875,0.206841597,-3.891634072,-1.218119844,0.168951715,-3.253112349,1.272261322,1.304074023,1.253260446,-1.254401259,-1.218035233,0.111487472,1.295178768,-0.838093201,-1.381076136,-1.176846044,0.25
4,-0.277880869,1.183311416,-1.673329116,1.283048228,-0.089254456,-1.73159398,-1.659405709,-0.382186717,0.7864167,0.771330394,0.094607994,-3.518630653,-1.199125198,0.196281291,-3.259835316,1.263387119,1.290754844,1.253260446,-1.261317819,-1.199114643,0.111487472,1.295178768,-0.459834025,-1.385682003,-1.176330733,0.24
5,-0.320878525,1.149400775,-1.666289317,1.283048228,-0.00913272,-1.705714119,-1.640922747,0.557011884,-0.61881216,-0.245624125,0.206841597,-3.547612317,-1.19923191,0.195760728,-3.258945512,1.258950017,1.29519457,1.27518934,-1.25583518,-1.199135986,0.158823446,1.295178768,-1.304282324,-1.376982033,-1.172564998,0.29
6,-0.260681806,1.251132699,-1.676763164,1.283048228,-0.162201111,-1.679178624,-1.627577067,0.378888011,-0.267504945,-0.564371064,0.35988742,-3.334839198,-1.188774184,0.202875093,-3.248366724,1.258950017,1.29519457,1.240103109,-1.250380656,-1.18870992,0.064151498,1.295178768,-0.734414606,-1.37135264,-1.17189113,0.27
7,-0.183286026,1.375471717,-1.675303694,1.283048228,-0.137088328,-1.677347727,-1.627548338,-0.08261475,0.1317078,0.391869753,0.135420213,-3.104503624,-1.172447325,0.224738754,-3.251135005,1.285572628,1.312953477,1.270803561,-1.251420952,-1.17240385,0.135155459,1.308898817,-0.081137386,-1.371864403,-1.167649724,0.27
8,-0.36387618,1.160704322,-1.665774209,1.283048228,-0.205251596,-1.659307604,-1.600713686,0.872776931,-1.369332119,0.042765962,0.308872146,-2.949838382,-1.162629868,0.241743823,-3.259637582,1.281135526,1.290754844,1.226945773,-1.23694116,-1.162618074,0.111487472,1.308898817,-0.52034966,-1.358558566,-1.163368678,0.3
9,-0.338077587,1.194614963,-1.665516656,1.283048228,-0.189705588,-1.671335569,-1.605477848,-0.204062845,0.051865251,0.695438266,-0.37473253,-3.097709918,-1.176929208,0.224478472,-3.260626254,1.272261322,1.299634297,1.262032003,-1.248965479,-1.176907228,0.111487472,1.295178768,-0.94264672,-1.361117381,-1.162060581,0.3
10,-0.303679462,1.194614963,-1.669809216,1.283048228,-0.164592805,-1.658261377,-1.598159322,0.17647452,-0.347347494,-0.518835787,0.472121023,-3.063307742,-1.184185589,0.214067205,-3.258253442,1.272261322,1.290754844,1.279575119,-1.242358196,-1.184131841,0.087819485,1.295178768,-0.807470831,-1.35753504,-1.162100221,0.27
11,-0.295079931,1.228525605,-1.668092192,1.283048228,-0.281785792,-1.635255157,-1.579733817,0.557011884,-0.459127062,-0.412586808,0.176232433,-2.48078351,-1.145662741,0.259269456,-3.253013481,1.263387119,1.29519457,1.226945773,-1.234420083,-1.145618357,0.135155459,1.295178768,-0.566283214,-1.349346833,-1.160157894,0.27
12,-0.295079931,1.228525605,-1.66723368,1.283048228,-0.285373332,-1.631596845,-1.578212621,0.184571059,0.323329917,-0.640263193,0.094607994,-2.48078351,-1.145662741,0.259269456,-3.253013481,1.263387119,1.29519457,1.226945773,-1.220146476,-1.145618357,0.135155459,1.295178768,0.47764795,-1.345764492,-1.158453404,0.27
