high_freq,low_freq,predict,label
-0.003808789,0.752297401,0.748488612,0.81
0.041826007,0.772265494,0.8140915,0.82
0.042487397,0.824274123,0.866761519,0.81
0.05758374,0.836391747,0.893975487,0.78
-0.019560549,0.696093738,0.676533189,0.75
-0.016703084,0.705561399,0.688858315,0.67
-0.047096224,0.798604012,0.751507788,0.67
-0.122732358,0.717605233,0.594872875,0.67
-0.13151054,0.766967237,0.635456697,0.69
-0.153148225,0.730939507,0.577791283,0.68
-0.140755552,0.771609008,0.630853456,0.66
-0.143460162,0.790598333,0.647138171,0.65
-0.157610366,0.870466053,0.712855687,0.68
-0.166179674,0.709585667,0.543405993,0.69
-0.136970187,0.679626107,0.54265592,0.65
-0.136970187,0.679626107,0.54265592,0.65
-0.156932567,0.617140889,0.460208322,0.66
-0.153375916,0.638589978,0.485214062,0.66
-0.115065261,0.685580611,0.57051535,0.66
-0.165510795,0.670993805,0.505483009,0.68
-0.103049494,0.691667616,0.588618123,0.65
-0.063997951,0.764153898,0.700155947,0.66
-0.178230015,0.707830966,0.529600951,0.67
-0.111072158,0.712284565,0.601212407,0.67
-0.099141751,0.668541729,0.569399979,0.69
-0.098093798,0.623666108,0.525572309,0.66
0.023395119,0.673850358,0.697245477,0.65
-0.008082574,0.715879917,0.707797343,0.63
-0.153309972,0.695076466,0.541766494,0.64
-0.152966446,0.656172931,0.503206485,0.61
-0.162921615,0.58242619,0.419504576,0.58
-0.030181387,0.685994744,0.655813357,0.6
-0.113597971,0.641950488,0.528352517,0.61
-0.103763117,0.695776165,0.592013047,0.59
-0.197389908,0.658719659,0.461329751,0.59
-0.107789002,0.666701555,0.558912553,0.59
-0.280618076,0.640077591,0.359459515,0.58
-0.01639759,0.561228871,0.544831281,0.58
-0.026870429,0.589421868,0.562551439,0.58
-0.024158501,0.555200219,0.531041718,0.59
-0.076246182,0.611998916,0.535752734,0.58
-0.062814948,0.619165361,0.556350413,0.59
-0.016262724,0.618685961,0.602423237,0.59
-0.005346737,0.605489612,0.600142875,0.6
0.000625685,0.661042869,0.661668554,0.59
0.021746218,0.569373071,0.59111929,0.61
0.013297276,0.597774923,0.611072199,0.61
0.034975456,0.567833841,0.602809297,0.62
0.038972748,0.619242489,0.658215237,0.62
0.052791227,0.681117952,0.733909179,0.61
0.056031166,0.590961337,0.646992503,0.63
-0.047337898,0.59112978,0.543791882,0.61
0.077049163,0.682422221,0.759471384,0.6
0.039401269,0.629605412,0.669006682,0.63
0.032845872,0.616592467,0.649438339,0.59
0.065510873,0.62396121,0.689472083,0.59
-0.033997097,0.612004697,0.578007601,0.58
0.032448709,0.678258121,0.71070683,0.59
-0.070631047,0.661637008,0.591005961,0.6
-0.036593083,0.664487362,0.627894279,0.57
-0.026700978,0.499492377,0.472791399,0.57
-0.258050111,0.731514275,0.473464164,0.57
-0.266050275,0.584268928,0.318218653,0.61
-0.01962525,0.529306114,0.509680864,0.65
0.019230367,0.653360546,0.672590913,0.63
0.063116985,0.674916446,0.738033431,0.61
0.102133873,0.768175602,0.870309475,0.61
-0.016271099,0.629208624,0.612937526,0.62
0.087557796,0.583495557,0.671053353,0.62
0.021805626,0.574112594,0.59591822,0.65
0.022488814,0.640188515,0.662677329,0.63
0.073080316,0.681573749,0.754654064,0.62
0.053525813,0.603487849,0.657013662,0.61
0.013870735,0.669168174,0.683038909,0.6
0.005601159,0.715544343,0.721145502,0.58
-0.002749545,0.643978655,0.64122911,0.59
-0.021177247,0.628906429,0.607729181,0.6
-0.020028956,0.592430353,0.572401397,0.6
-0.01012332,0.608917117,0.598793797,0.6
-0.015832318,0.591473222,0.575640904,0.6
0.000773211,0.610635757,0.611408969,0.62
-0.010124672,0.526807547,0.516682875,0.63
0.009758837,0.566901207,0.576660044,0.62
0.019658396,0.588244915,0.607903311,0.67
0.009284223,0.590605378,0.599889602,0.65
0.059181824,0.699299276,0.7584811,0.63
0.030393407,0.599867702,0.630261109,0.62
-0.044391583,0.628233612,0.583842029,0.63
-0.009596767,0.593170702,0.583573936,0.63
-0.028900967,0.677612126,0.648711159,0.62
0.007060505,0.628796101,0.635856605,0.63
-0.004186002,0.629686058,0.625500056,0.64
-0.000623588,0.637746215,0.637122627,0.63
-0.016549872,0.605042934,0.588493063,0.65
-0.0042745,0.616013527,0.611739027,0.66
0.02607886,0.681802392,0.707881252,0.65
0.035258886,0.596950829,0.632209715,0.66
0.011962219,0.572411299,0.584373518,0.67
0.020500512,0.628767133,0.649267645,0.68
0.016953232,0.733069599,0.750022831,0.68
0.071329569,0.697696924,0.769026493,0.68
0.028803311,0.66486609,0.693669401,0.67
0.075646479,0.629967749,0.705614228,0.68
0.017330033,0.66685307,0.684183103,0.66
0.01743991,0.701873124,0.719313034,0.67
0.071212745,0.659458518,0.730671263,0.66
0.082969987,0.646272302,0.729242288,0.67
0.07115417,0.590632439,0.661786609,0.68
0.005746242,0.697788119,0.703534361,0.68
0.014139408,0.729143858,0.743283265,0.7
0.012482439,0.676470459,0.688952898,0.69
0.030825035,0.716121912,0.746946947,0.67
0.143868651,0.692578495,0.836447146,0.67
0.125515129,0.603228271,0.7287434,0.67
-0.019048851,0.690123796,0.671074946,0.71
-0.018653795,0.628642976,0.609989181,0.7
0.077219253,0.684488416,0.761707669,0.7
0.111134854,0.747293353,0.858428207,0.7
0.106367955,0.675082207,0.781450162,0.72
0.106097728,0.675655305,0.781753034,0.7
0.087529467,0.667609453,0.75513892,0.7
0.067316666,0.770668447,0.837985113,0.7
0.065544975,0.715506136,0.781051111,0.69
0.055687212,0.67094636,0.726633572,0.66
0.04523531,0.623927474,0.669162784,0.68
0.0143881,0.679258525,0.693646626,0.69
-0.009025571,0.830899656,0.821874085,0.69
0.0298048,0.70069021,0.73049501,0.7
0.042401381,0.729421735,0.771823116,0.7
0.05138947,0.734824538,0.786214008,0.66
0.041829261,0.684677601,0.726506862,0.67
0.001012475,0.639380455,0.64039293,0.66
0.008778784,0.662884295,0.671663079,0.65
-0.001174286,0.675179303,0.674005016,0.64
-0.012143632,0.656555057,0.644411425,0.65
-0.069949251,0.644038379,0.574089128,0.66
-0.060721663,0.610727072,0.550005408,0.66
0.035013041,0.705650628,0.740663669,0.65
-0.052406394,0.687882841,0.635476447,0.65
0.012699695,0.626501024,0.639200718,0.68
-0.009968744,0.633419991,0.623451247,0.69
0.019504771,0.676334202,0.695838974,0.7
0.02900211,0.588964581,0.617966691,0.68
0.038515029,0.643072963,0.681587992,0.67
0.018078179,0.65969789,0.677776069,0.69
0.007564804,0.658081055,0.665645859,0.69
0.027162321,0.717069745,0.744232066,0.68
0.026661631,0.680969536,0.707631167,0.68
0.016175663,0.60209173,0.618267393,0.69
0.015652052,0.612749338,0.62840139,0.69
0.025195839,0.687326968,0.712522807,0.7
0.023998097,0.712274313,0.73627241,0.72
0.033557023,0.676696241,0.710253264,0.7
-0.031645205,0.628764987,0.597119782,0.72
0.019966432,0.7109074,0.730873831,0.7
0.065612767,0.667085588,0.732698355,0.71
0.007554783,0.682442009,0.689996792,0.69
0.016805572,0.679617643,0.696423215,0.7
-0.004636999,0.744686544,0.740049545,0.7
0.004993096,0.709513605,0.7145067,0.69
0.004804273,0.69786942,0.702673693,0.71
-0.004153685,0.72927922,0.725125535,0.7
0.015300756,0.674421191,0.689721948,0.68
0.005258349,0.698009193,0.703267542,0.68
-0.015081113,0.725382149,0.710301036,0.67
-0.015450385,0.732729495,0.717279109,0.68
-0.024266714,0.660669744,0.63640303,0.67
-0.017131706,0.683742285,0.666610579,0.67
-0.027548448,0.69247961,0.664931163,0.64
-0.027774624,0.661961019,0.634186395,0.64
-0.056500749,0.670512021,0.614011272,0.62
-0.056853828,0.627517164,0.570663336,0.6
-0.07680674,0.669114172,0.592307432,0.6
-0.096940437,0.649275601,0.552335164,0.6
-0.088646041,0.6002388,0.511592759,0.6
-0.096674721,0.653421998,0.556747277,0.58
-0.097431416,0.639241338,0.541809922,0.57
-0.117607007,0.589774847,0.47216784,0.56
-0.127806393,0.624692917,0.496886524,0.56
-0.137841859,0.623961985,0.486120126,0.56
-0.136263547,0.610486388,0.474222841,0.56
-0.136337739,0.553945959,0.417608219,0.55
-0.136221163,0.625522256,0.489301093,0.56
-0.146364429,0.549653709,0.40328928,0.56
-0.135845514,0.568583965,0.432738451,0.57
-0.019468743,0.550228477,0.530759733,0.57
-0.126521247,0.575246513,0.448725266,0.57
-0.126336759,0.583653212,0.457316453,0.58
-0.1270071,0.636900783,0.509893682,0.57
-0.117129549,0.504089773,0.386960224,0.57
-0.125051304,0.647177637,0.522126332,0.56
-0.012082258,0.574760973,0.562678716,0.56
-0.135093295,0.625866473,0.490773178,0.58
-0.04162707,0.595086575,0.553459504,0.58
-0.018311773,0.622987092,0.604675319,0.59
-0.016393327,0.585544705,0.569151378,0.59
-0.004400689,0.672090292,0.667689603,0.6
-0.003117987,0.58824724,0.585129253,0.59
0.00723035,0.536271691,0.543502041,0.59
-0.000878932,0.586632311,0.585753379,0.62
0.000270698,0.597277939,0.597548637,0.65
0.074747806,0.58558774,0.660335546,0.65
0.109003815,0.715267777,0.824271592,0.64
0.057355152,0.690078676,0.747433828,0.62
0.048158365,0.580205321,0.628363686,0.62
0.02966263,0.6613608,0.69102343,0.64
0.030887378,0.644387662,0.67527504,0.64
-0.194385506,0.635053337,0.44066783,0.64
-0.194346403,0.711459935,0.517113532,0.62
-0.200473677,0.651013494,0.450539817,0.64
-0.222336783,0.698161602,0.475824819,0.64
0.061272839,0.60931915,0.67059199,0.64
0.062373966,0.650463581,0.712837547,0.64
-0.021356497,0.52745086,0.506094363,0.66
-0.076917194,0.643078566,0.566161371,0.65
-0.004566392,0.732639253,0.728072861,0.67
-0.016850392,0.617075026,0.600224635,0.66
0.001126599,0.724267364,0.725393962,0.66
-0.010731888,0.628833234,0.618101346,0.68
-0.012692939,0.6459499,0.633256961,0.69
0.105064345,0.670482635,0.775546981,0.71
0.072105373,0.678567946,0.750673318,0.71
0.089480238,0.679799914,0.769280152,0.68
0.070037785,0.727291524,0.797329309,0.68
0.055756838,0.662105083,0.717861922,0.66
0.053139971,0.683123171,0.736263143,0.65
0.103691729,0.647816896,0.751508626,0.65
0.039430525,0.667331755,0.70676228,0.64
0.039864176,0.641714513,0.68157869,0.63
0.076603497,0.587152183,0.66375568,0.6
-0.006502531,0.683003724,0.676501192,0.61
0.032293343,0.687675953,0.719969296,0.6
0.051309002,0.658787608,0.710096611,0.61
0.042386014,0.659871519,0.702257533,0.59
0.053438194,0.561840475,0.615278668,0.58
0.034746762,0.634042442,0.668789204,0.55
0.025802084,0.667957723,0.693759807,0.54
-0.003114659,0.569406986,0.566292328,0.53
-0.012035663,0.64330256,0.631266897,0.52
-0.020982121,0.51789993,0.496917809,0.52
-0.029930752,0.598368585,0.568437833,0.52
-0.028579563,0.632348299,0.603768736,0.51
-0.027501183,0.512441337,0.484940154,0.51
-0.036423035,0.505580127,0.469157093,0.51
-0.035344178,0.610379457,0.57503528,0.51
-0.034656813,0.501181781,0.466524968,0.52
-0.136562534,0.463207424,0.32664489,0.54
-0.12614048,0.488047004,0.361906524,0.55
-0.105691045,0.541852474,0.436161429,0.54
-0.095293542,0.520559788,0.425266245,0.52
-0.104196294,0.572247267,0.468050973,0.52
-0.123491779,0.490357697,0.366865918,0.5
-0.123001357,0.505565286,0.382563929,0.5
-0.144890955,0.516186476,0.371295521,0.47
-0.126901372,0.544212878,0.417311506,0.49
-0.217102166,0.565041959,0.347939793,0.47
-0.157831327,0.547019124,0.389187797,0.49
-0.217911037,0.598705769,0.380794731,0.5
-0.198305606,0.563641012,0.365335406,0.51
-0.128300539,0.513189733,0.384889194,0.53
-0.179235049,0.570961535,0.391726486,0.52
-0.085097864,0.498423308,0.413325444,0.53
-0.108772221,0.549555659,0.440783438,0.54
